년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018.04.22,1,발전량,4.31,0.18,0.727,0,0.727,0.003,0,0,0,0,0,0,0.092,0.366,0.505,0.565,0.727,0.456,0.485,0.483,0.257,0.143,0.15,0.078,0.003,0,0,0,0,0
2018.04.23,1,발전량,1.986,0.083,0.541,0,0.541,0,0,0,0,0,0,0,0,0.004,0.044,0.112,0.137,0.235,0.396,0.541,0.24,0.132,0.103,0.043,0,0,0,0,0,0
2018.04.24,1,발전량,2.824,0.118,0.614,0,0.614,0.028,0,0,0,0,0,0,0,0.028,0.064,0.183,0.245,0.343,0.473,0.614,0.469,0.214,0.056,0.101,0.034,0,0,0,0,0
2018.04.25,1,발전량,11.714,0.488,1.497,0,1.497,0.059,0,0,0,0,0,0,0.059,0.385,0.797,1.115,1.328,1.458,1.497,1.443,1.312,1.093,0.775,0.38,0.073,0,0,0,0,0
2018.04.26,1,발전량,10.052,0.419,1.4,0,1.4,0,0,0,0,0,0,0,0.056,0.359,0.754,1.068,1.27,1.287,1.4,1.186,1.045,0.751,0.544,0.262,0.07,0,0,0,0,0
2018.04.27,1,발전량,9.025,0.376,1.412,0,1.412,0,0,0,0,0,0,0,0.044,0.368,0.676,0.766,1.175,1.412,1.326,1.055,0.784,0.408,0.495,0.428,0.089,0,0,0,0,0
2018.04.28,1,발전량,11.504,0.479,1.455,0,1.455,0,0,0,0,0,0,0,0.07,0.363,0.753,1.085,1.297,1.411,1.455,1.423,1.299,1.098,0.795,0.379,0.077,0,0,0,0,0
2018.04.29,1,발전량,11.029,0.46,1.44,0,1.44,0.063,0,0,0,0,0,0,0.063,0.363,0.798,1.114,1.302,1.423,1.44,1.009,1.221,1.065,0.776,0.388,0.067,0,0,0,0,0
2018.04.30,1,발전량,10.214,0.426,1.377,0,1.377,0.039,0,0,0,0,0,0,0.039,0.131,0.53,1.007,1.219,1.328,1.377,1.345,1.159,0.982,0.704,0.315,0.078,0,0,0,0,0
2018.05.01,1,발전량,8.17,0.34,1.099,0,1.099,0.007,0,0,0,0,0,0,0.069,0.326,0.653,0.954,1.078,0.873,1.099,0.913,0.843,0.697,0.411,0.246,0.007,0,0,0,0,0
2018.05.02,1,발전량,1.013,0.042,0.213,0,0.213,0.012,0,0,0,0,0,0,0,0,0.012,0.044,0.067,0.083,0.189,0.21,0.213,0.112,0.054,0.029,0,0,0,0,0,0
2018.05.03,1,발전량,9.951,0.415,1.351,0,1.351,0.02,0,0,0,0,0,0,0.104,0.387,0.8,1.146,1.263,1.174,1.218,1.351,1.297,0.712,0.353,0.124,0.02,0,0,0,0,0
2018.05.04,1,발전량,12.344,0.514,1.578,0,1.578,0,0,0,0,0,0,0,0.072,0.404,0.82,1.164,1.407,1.528,1.578,1.52,1.37,1.157,0.819,0.426,0.079,0,0,0,0,0
2018.05.05,1,발전량,10.02,0.417,1.269,0,1.269,0,0,0,0,0,0,0,0.08,0.373,0.734,1.027,1.236,1.256,1.269,0.928,1.104,0.854,0.602,0.438,0.114,0.005,0,0,0,0
2018.05.06,1,발전량,1.867,0.078,0.304,0,0.304,0.002,0,0,0,0,0,0,0.002,0.013,0.063,0.093,0.112,0.168,0.191,0.23,0.304,0.298,0.226,0.138,0.026,0.002,0,0,0,0
2018.05.07,1,발전량,4.046,0.169,0.789,0,0.789,0,0,0,0,0,0,0,0,0.024,0.121,0.092,0.251,0.224,0.402,0.702,0.789,0.603,0.4,0.305,0.128,0.006,0,0,0,0
2018.05.08,1,발전량,4.596,0.191,0.618,0,0.618,0.03,0,0,0,0,0,0,0.053,0.187,0.267,0.313,0.377,0.376,0.495,0.514,0.618,0.532,0.536,0.298,0.03,0,0,0,0,0
